"protein_id"	"protein_mw"	"protein_concentration"
"A0AVT1"	117970	59316.2324865627
"A0FGR8"	102357	84069.5198908573
"A0MZ66"	71640	50108.2676843329
"A1L0T0"	67868	63233.7113440328
"A2RRP1"	268571	45351.8260266052
"A3KMH1"	214824	166280.404904867
"A5A3E0"	121445	436393.422196531
"A5YKK6"	266939	68464.5655153728
"A6NDG6"	34006	75136.641589839
"A6NDU8"	33620	37413.0650839637
"A6NED2"	40079	15666.8254654524
"A6NHR9"	226374	41634.2544135156
"A6NIH7"	28137	47568.3591674512
"A8MXV4"	42233	69923.9168738368
"C9JLW8"	10920	59722.4751418389
"O00115"	39581	57460.5958837396
"O00116"	72912	58810.4584417335
"O00139"	79955	55099.7993376987
"O00148"	49130	55562.4285530236
"O00151"	36072	145692.378984212
"O00154"	41796	207727.283141839
"O00161"	23354	31423.7280511435
"O00165"	31621	55585.9805905199
"O00170"	37636	122078.750970237
"O00178"	72454	43931.7267722853
"O00186"	67764	51887.4121562668
"O00203"	121320	77311.5623592443
"O00217"	23705	96982.9453115309
"O00231"	47464	120365.521239418
"O00232"	52904	118422.446188616
"O00233"	24682	70979.2562063521
"O00244"	7402	19214.4831079009
"O00264"	21671	259475.334418645
"O00267"	121000	80992.6129959301
"O00273"	36522	130275.423919977
"O00299"	26923	221576.793505531
"O00303"	37564	159651.531373884
"O00330"	54122	43204.2616289635
"O00400"	60909	27016.5005429877
"O00401"	54827	59524.307731118
"O00410"	123630	239396.132317
"O00411"	138620	19756.7084012062
"O00429"	81877	129003.554017264
"O00442"	39337	61877.9248306785
"O00461"	81880	36824.943156346
"O00469"	84686	47155.5634991336
"O00471"	81853	91452.0566552424
"O00483"	9370	123385.290726459
"O00487"	34577	101562.798637586
"O00505"	57811	69780.2126556422
"O00541"	68003	46204.4907097386
"O00560"	32444	46906.4665881723
"O00567"	66050	28678.4103993877
"O00571"	73243	76471.0699224837
"O00584"	29481	41533.533596798
"O00592"	58635	64558.4392271368
"O00743"	35144	31106.7968819706
"O00746"	20659	48229.685809359
"O00754"	113744	32309.0563989881
"O00762"	19652	59058.895673395
"O00764"	35102	54289.4767466289
"O00767"	41523	61097.1753667927
"O14497"	242045	30147.3161719221
"O14530"	26534	48137.9355016765
"O14531"	61878	33129.9723173024
"O14545"	64841	26703.1100376747
"O14548"	12615	62809.3065133024
"O14561"	17417	101568.44112943
"O14562"	33382	41692.0390319282
"O14579"	34482	99849.2290997186
"O14617"	130158	76407.9080119153
"O14618"	29041	61479.5160895031
"O14653"	24775	23924.242727175
"O14654"	133768	173596.887702481
"O14656"	37809	40530.2035917707
"O14657"	37979	24082.8485094186
"O14662"	37031	29664.9869949769
"O14672"	84142	30022.7734622966
"O14735"	23539	73613.9201725789
"O14737"	14285	301005.066312122
"O14744"	72684	114062.327639143
"O14745"	38868	71963.1072892549
"O14763"	47878	29553.2387210599
"O14773"	61248	51899.8635518424
"O14776"	123901	99234.9532750207
"O14777"	73913	35284.0398702504
"O14787"	101388	45915.0770876419
"O14802"	155641	30620.1157937094
"O14818"	27887	233628.236550478
"O14828"	38287	121672.852125335
"O14880"	16516	50106.4894175109
"O14908"	36049	43105.3895599695
"O14929"	49513	80513.8047007201
"O14936"	105123	39761.4511654066
"O14964"	86192	71510.3075156158
"O14974"	115281	56975.7408409782
"O14975"	70312	34175.6576669109
"O14979"	46438	56667.5129172824
"O14980"	123386	145498.600651142
"O14981"	206887	31201.9244277799
"O15027"	233517	43468.1727373266
"O15031"	205127	50042.0992816761
"O15042"	118292	41480.6451041852
"O15067"	144734	122457.672695116
"O15075"	82224	27715.5229612936
"O15091"	67315	29212.5759551708
"O15111"	84640	17805.3199182385
"O15116"	15179	58643.1541476862
"O15118"	142167	37224.3713454567
"O15121"	37866	50332.6619819473
"O15126"	37920	68418.6840574233
"O15127"	36649	94088.8670491982
"O15143"	40950	44767.5623304514
"O15144"	34333	79924.8552842095
"O15145"	20547	106265.639109722
"O15155"	13289	30588.5420916046
"O15160"	39250	70253.899540179
"O15173"	23818	108894.530462189
"O15212"	14583	157048.048273084
"O15228"	77188	40329.2099125384
"O15260"	30394	181044.544606835
"O15269"	52744	41434.633348226
"O15270"	62924	25046.575398374
"O15294"	116925	58058.6052572466
"O15305"	28082	49888.9961877126
"O15347"	22980	154074.268430426
"O15355"	59272	119871.806255809
"O15357"	138599	21665.0689708347
"O15371"	63973	149187.82117826
"O15372"	39930	116417.00638621
"O15382"	44288	78845.7612684098
"O15397"	119938	57813.5134666538
"O15400"	29816	105987.862280876
"O15439"	149527	41423.5107983995
"O15460"	60902	31426.2960386982
"O15498"	22418	61715.9334949399
"O15511"	16320	100328.664000372
"O15514"	16311	45736.7296392706
"O15533"	47626	46710.6138611066
"O43143"	90933	97815.368078559
"O43148"	54844	55820.2614744493
"O43169"	16332	122380.578164316
"O43172"	58449	47637.3224915188
"O43175"	56651	387483.899424869
"O43237"	54099	60592.7215490711
"O43242"	60978	135214.88471148
"O43252"	70833	74865.1110314195
"O43264"	88829	44706.5510678635
"O43290"	90255	32547.4554752798
"O43301"	74978	26187.4879235518
"O43324"	19811	111239.945971496
"O43379"	165954	35283.4267140733
"O43390"	70943	82862.6768529224
"O43395"	77529	49350.9427141066
"O43396"	32251	102081.120556782
"O43399"	22238	150449.51868632
"O43402"	23773	67202.4439235003
"O43414"	37238	53739.7266344169
"O43432"	176652	52123.7864597171
"O43447"	19208	86788.2803810088
"O43464"	48841	46924.3548348698
"O43488"	39589	122398.2941468
"O43491"	112588	122545.222734084
"O43502"	42190	26308.8466439365
"O43504"	9614	58628.7858743558
"O43505"	47119	25138.7672935706
"O43583"	22092	136628.243389089
"O43592"	109964	92462.3079239547
"O43598"	19108	149104.772754217
"O43615"	51356	116302.193328742
"O43617"	20274	98351.2501668319
"O43633"	25104	74907.8666139897
"O43670"	50751	152160.681838147
"O43674"	21750	62314.6269501967
"O43676"	11402	73461.5124952362
"O43678"	10922	90824.1717932832
"O43681"	38793	93864.0001779093
"O43684"	37155	147258.190456172
"O43707"	104854	231333.768167879
"O43708"	24212	26697.8593035634
"O43716"	15086	44854.1862710638
"O43719"	85853	63493.7370407484
"O43747"	91351	66781.5502657537
"O43752"	29176	31813.1134224855
"O43759"	25456	64292.5583628462
"O43765"	34063	118910.214648252
"O43768"	13389	56684.1084968792
"O43776"	62943	147685.724919439
"O43795"	131985	28251.5239710343
"O43805"	13596	44521.4549317825
"O43808"	34567	43317.9289823093
"O43809"	26227	130765.536398393
"O43813"	45283	92987.7070207114
"O43815"	86132	43092.9298275729
"O43819"	29810	58222.5537245221
"O43837"	42184	87181.7357139983
"O43847"	131572	73788.1650578246
"O43852"	37107	244737.083951215
"O43865"	58951	127520.299533194
"O43913"	50283	31979.2624361824
"O43920"	12518	68502.5813139294
"O43929"	50377	32569.8225665164
"O60220"	10998	59992.2536318668
"O60231"	119264	45835.149586323
"O60232"	21474	60567.6530941592
"O60256"	40926	63911.3237064124
"O60271"	146205	69729.6856708729
"O60282"	109495	25394.0521038703
"O60313"	111631	62806.3801220973
"O60341"	92903	52438.1758010503
"O60343"	146563	48837.6807066047
"O60488"	79188	51125.9677406604
"O60493"	18762	97610.1881124792
"O60502"	102915	60455.4542754132
"O60506"	69603	128319.59463372
"O60547"	41950	51994.5255503218
"O60568"	84785	87312.7308897339
"O60610"	141347	71770.4667105881
"O60645"	86845	47283.3736703862
"O60664"	47075	48811.9884652268
"O60678"	59876	59511.3530155477
"O60684"	60030	101828.66672505
"O60701"	55024	53076.890820153
"O60716"	108170	44652.5806478161
"O60725"	31938	58387.3233129927
"O60749"	58471	105672.504869249
"O60762"	29634	89214.6795347238
"O60763"	107895	74669.0996684376
"O60783"	15139	63510.4096077684
"O60826"	70756	55099.7993376987
"O60828"	30472	78731.0498363788
"O60830"	18273	38965.1421564766
"O60831"	19258	75834.2902998799
"O60832"	57674	20302.7625286559
"O60841"	138827	87496.1072551224
"O60869"	16369	106352.978873643
"O60884"	45746	123422.596440721
"O60885"	152219	45697.6332419328
"O60888"	19116	140008.990832091
"O60925"	14210	115197.584467499
"O75027"	82641	51756.3374708853
"O75044"	120881	28831.8088846664
"O75054"	135196	19153.8334667153
"O75083"	66194	117058.471312743
"O75116"	160900	20556.1374387735
"O75122"	141133	31163.9301816357
"O75127"	78856	24214.2293023758
"O75131"	60131	115302.357640776
"O75146"	119388	19581.4499249638
"O75150"	113650	61666.6481337072
"O75153"	146670	65993.0277223312
"O75175"	81872	41391.2870661972
"O75179"	274258	30362.3899855154
"O75208"	35509	53065.7665405433
"O75223"	21008	71750.2661026702
"O75251"	23564	70854.3838681839
"O75306"	52546	115319.986484464
"O75312"	50925	43876.6304625674
"O75323"	33743	113054.569210261
"O75340"	21868	100186.333968044
"O75347"	12855	294168.178192865
"O75348"	13758	61481.3196648232
"O75351"	49302	51794.7786257266
"O75352"	26638	78839.8192984223
"O75368"	12774	45406.9442710679
"O75369"	278164	110185.505167438
"O75380"	13712	56567.3904810993
"O75381"	41237	57744.6121722994
"O75390"	51712	392225.570721319
"O75396"	24593	152288.367482246
"O75400"	108805	45086.5904867338
"O75410"	87794	25412.6800714213
"O75431"	29763	94303.4208287027
"O75436"	38170	97241.6895446312
"O75438"	6961	67826.7852572676
"O75439"	54366	128314.697014305
"O75475"	60103	106323.297102871
"O75489"	30242	152193.179349988
"O75496"	23565	51837.7701565254
"O75521"	43585	87159.1818253751
"O75531"	10059	142970.770419492
"O75533"	145830	102038.212853188
"O75534"	88885	120954.463813448
"O75554"	42507	34831.6043118431
"O75607"	19344	63996.5506838225
"O75608"	24670	103946.875473854
"O75616"	48350	49394.945176439
"O75643"	244508	86976.3812880184
"O75663"	31444	81519.2688355103
"O75674"	52989	35709.7782230358
"O75683"	41450	84820.0613211302
"O75688"	52643	32058.0685653218
"O75694"	155199	89138.5724747766
"O75695"	39641	29735.8932945492
"O75717"	125967	35261.1458372017
"O75718"	46562	55135.4144774694
"O75787"	39008	101647.691563192
"O75792"	33395	113881.113015901
"O75794"	39135	63573.1994184127
"O75821"	35611	117347.34793328
"O75822"	29062	119429.442576968
"O75828"	30850	66437.8436432162
"O75832"	24428	40808.3857458545
"O75844"	54813	106864.835463105
"O75874"	46659	94851.9364381553
"O75880"	33814	112556.510234129
"O75884"	21000	62297.9912200203
"O75909"	64240	62036.8072951644
